arm,cost_mult,cost_pct,mdd_pct,n_days,net_2020,net_2021,net_2022,net_2023,net_2024,net_pct,panel,seed,sharpe,sharpe_2020,sharpe_2021,sharpe_2022,sharpe_2023,sharpe_2024,turnover
Online GRU,2.0,12.54685653160972,18.076967925385276,1250,,,,,,19.026229115950198,set3,50,0.3091748666134585,,,,,,0.1394166717114911
Online GRU,3.0,18.82028479741458,20.049223332873428,1250,,,,,,12.752800850145341,set3,50,0.20724939271983295,,,,,,0.1394166717114911
Online GRU,5.0,31.3671413290243,25.129608606466096,1250,,,,,,0.20594431853561274,set3,50,0.0033473558396027673,,,,,,0.1394166717114911
Online GRU,1.0,6.474933778626845,32.560818295959336,1250,16.824231322193402,-9.598082786335526,1.481355492226058,24.602883114928947,2.115376202436764,35.425763345449646,set3,51,0.5185730901109314,0.7705292139028205,-0.7393283096261233,0.1325830678582269,2.644663123004307,0.23329551957198105,0.1380248713578602
Online GRU,1.5,9.712400667940269,33.33924285964371,1250,,,,,,32.18829645613622,set3,51,0.4711397491630626,,,,,,0.1380248713578602
Online GRU,2.0,12.94986755725369,34.11766742332809,1250,,,,,,28.95082956682281,set3,51,0.4237143689941005,,,,,,0.1380248713578602
Online GRU,3.0,19.424801335880538,35.67451655069684,1250,,,,,,22.475895788195956,set3,51,0.32888823257331284,,,,,,0.1380248713578602
Online GRU,5.0,32.37466889313423,38.934754917539315,1250,,,,,,9.526028230942263,set3,51,0.13933963511675143,,,,,,0.1380248713578602
Online GRU,1.0,5.994229593765128,16.8619484242149,1251,21.434673030152005,26.5571277791246,1.0346208229277427,5.743761908672829,4.587032885129014,59.35721642600619,set4,42,0.9438933212974673,1.004062168363814,2.5416743329137845,0.09760941349970301,0.6825499215278025,0.6699324594108805,0.13077199130804243
Online GRU,1.5,8.991344390647692,16.95886670784843,1251,,,,,,56.360101629123626,set4,42,0.8963544250273069,,,,,,0.13077199130804243
Online GRU,2.0,11.988459187530257,17.055784991481953,1251,,,,,,53.36298683224106,set4,42,0.8488011721176473,,,,,,0.13077199130804243
Online GRU,3.0,17.982688781295384,17.249621558749006,1251,,,,,,47.368757238475936,set4,42,0.7536525951348392,,,,,,0.13077199130804243
Online GRU,5.0,29.97114796882564,17.637294693283113,1251,,,,,,35.38029805094568,set4,42,0.5631941713810842,,,,,,0.13077199130804243
Online GRU,1.0,6.546818239159674,23.164030775321912,1251,-17.166994298421873,7.867998579123256,-6.729676305411725,10.978747401626956,13.355711398029287,8.305786774945895,set4,43,0.14837773563550485,-0.9597402767041379,0.7799630092808634,-0.6701837291871903,1.2314681178389106,2.582570920212157,0.14343937827231565
Online GRU,1.5,9.820227358739512,25.358457533410352,1251,,,,,,5.032377655366053,set4,43,0.08989287055889789,,,,,,0.14343937827231565
Online GRU,2.0,13.093636478319349,27.552884291498803,1251,,,,,,1.7589685357862206,set4,43,0.03141762145645701,,,,,,0.14343937827231565
Online GRU,3.0,19.640454717479024,31.941737807675736,1251,,,,,,-4.787849703373451,set4,43,-0.08550265407194678,,,,,,0.14343937827231565
Online GRU,5.0,32.73409119579837,40.71944484002954,1251,,,,,,-17.881486181692797,set4,43,-0.3192127115245432,,,,,,0.14343937827231565
Online GRU,1.0,6.089613508213837,23.337512992026536,1251,2.00185743165055,20.37889052694997,10.726541864047809,19.271760335614832,8.85159651856149,61.23064667682465,set4,44,0.97573244970535,0.09223907220455277,2.0816479507436476,0.9438723794077131,2.5601152395273883,1.3953166862336388,0.13440016115371015
Online GRU,1.5,9.134420262320758,23.411156838584674,1251,,,,,,58.18583992271773,set4,44,0.9272724273751162,,,,,,0.13440016115371015
Online GRU,2.0,12.179227016427674,23.484800685142808,1251,,,,,,55.14103316861081,set4,44,0.8788044674489732,,,,,,0.13440016115371015
Online GRU,3.0,18.268840524641515,23.632088378259084,1251,,,,,,49.05141966039698,set4,44,0.7818458252095308,,,,,,0.13440016115371015
Online GRU,5.0,30.448067541069193,23.926663764491636,1251,,,,,,36.872192643969306,set4,44,0.5878452965331223,,,,,,0.13440016115371015
Online GRU,1.0,6.12070129076687,17.902193558717414,1251,23.56360324861494,16.36778285379066,-3.9034041868709486,11.547697407299973,4.332825742621303,51.90850506545593,set4,45,0.8150304383546116,1.1223460174575157,1.7552012462376272,-0.2992689256046679,1.2370306986160469,0.7810687162766844,0.13318693759805778
Online GRU,1.5,9.181051936150304,17.955255032472905,1251,,,,,,48.8481544200725,set4,45,0.7670557704385973,,,,,,0.13318693759805778
Online GRU,2.0,12.24140258153374,18.01527959359918,1251,,,,,,45.78780377468906,set4,45,0.7190700743279395,,,,,,0.13318693759805778
Online GRU,3.0,18.362103872300608,18.135328715851728,1251,,,,,,39.66710248392217,set4,45,0.6230667219941434,,,,,,0.13318693759805778
Online GRU,5.0,30.60350645383435,18.37542696035683,1251,,,,,,27.425699902388445,set4,45,0.4309400676451597,,,,,,0.13318693759805778
Online GRU,1.0,6.352974345608208,19.4593872160905,1251,-2.412977076816447,10.066870244012982,-6.613363133227034,-1.2982304442668533,2.503195010451027,2.2454946001536755,set4,46,0.035470540169560597,-0.11395944613286199,1.059522584804351,-0.5606964915815033,-0.1508800594279688,0.3375743332273947,0.13658853056032616
Online GRU,1.5,9.529461518412312,20.20282459907569,1251,,,,,,-0.9309925726504236,set4,46,-0.01470748043071959,,,,,,0.13658853056032616
Online GRU,2.0,12.705948691216417,20.947763272628947,1251,,,,,,-4.107479745454539,set4,46,-0.06489374039971121,,,,,,0.13658853056032616
Online GRU,3.0,19.058923036824623,22.448168561062374,1251,,,,,,-10.46045409106274,set4,46,-0.16528964742656438,,,,,,0.13658853056032616
