islands,panel,seed,net_pct,sharpe,mdd_pct
50,set1,49,25.108510232842573,0.3211885758822241,39.96128011664125
50,set1,50,32.5773271913131,0.4971751292433572,30.98090006919449
50,set1,51,47.464701891512675,0.6832509508792438,23.357090265062258
50,set2,42,80.79115564536426,1.410365743383324,18.809291348688195
50,set2,43,77.63426566041582,1.2685332241779237,16.071408956213006
50,set2,44,86.73377349121677,1.459584306673385,20.29661977135667
50,set2,45,80.18714950042364,1.3343900198876024,18.066050544260932
50,set2,46,84.40299683317066,1.4254360652990934,12.279667850134587
50,set2,47,64.44940131706376,0.9882061490789912,23.98535739086282
50,set2,48,91.32728031658644,1.3027419211011262,21.83865986613529
50,set2,49,87.06473960205355,1.2929289668444177,25.614374602320883
50,set2,50,72.51101130013417,1.1213074850406077,21.627938131248595
50,set2,51,81.26949512586945,1.1941177246836852,22.304317818803405
50,set3,42,34.45799450039756,0.48271475921563706,27.89996215938556
50,set3,43,29.946679370106356,0.3474760414077693,31.169216216608632
50,set3,44,57.42237193903896,0.7571530407291747,28.77197541446378
50,set3,45,35.21742236129891,0.4683335208122856,25.604935080899104
50,set3,46,36.20409727279977,0.5227627723629262,25.164931054322537
50,set3,47,30.713804191511784,0.4372771080912853,22.85949829593298
50,set3,48,35.620165999059886,0.47610762409746243,28.04388442145484
50,set3,49,52.41654873023713,0.6727960782934136,22.399099290075256
50,set3,50,48.77709678575817,0.6765850954719447,21.85143098372234
50,set3,51,26.198965021244845,0.3639115746038003,25.275255313314986
50,set4,42,36.706992518982396,0.56535505953791,24.84646694466527
50,set4,43,43.372405916850056,0.6460918852778362,23.154762848424866
50,set4,44,49.2926434775531,0.7175417267411576,21.29847314367858
50,set4,45,42.95504990294695,0.6217964469356546,19.78298226016377
50,set4,46,44.35265111675727,0.6774000861457803,22.67714894191179
50,set4,47,39.10270145027166,0.6217915581216906,23.359281034107752
50,set4,48,51.67351691375875,0.7819817559560969,19.118915834808288
50,set4,49,50.45623095689472,0.7779618434389295,24.6341349438029
50,set4,50,60.56038420566278,0.8679910305079345,20.30295749295843
50,set4,51,35.145464053191056,0.5509140297450095,20.60137272104398
60,set1,42,25.475112294604806,0.3610712592798884,32.50299774854826
60,set1,43,41.870190081134,0.5921083079238786,37.35296612552525
60,set1,44,58.48631601147309,0.8274657121271832,27.770331376845704
60,set1,45,61.577098236240346,0.7935221382436548,34.75567899109277
60,set1,46,47.760850329917595,0.6255178983077491,38.86614389433954
60,set1,47,13.357497747454635,0.18678639838907196,35.279713597233716
60,set1,48,27.792489603694996,0.3835647250706257,32.19231349558306
60,set1,49,34.790172520411865,0.5121180907916356,30.15874007333293
60,set1,50,42.334766498456034,0.5987510235094964,29.40280684730609
60,set1,51,49.227456854168636,0.7241106323575326,23.79380529578365
60,set2,42,84.75566881788457,1.24365601035471,23.926904468690292
60,set2,43,74.70511048231843,1.0029534606912258,24.960845721920652
60,set2,44,83.34107342564255,1.4260136898699605,19.559133084042788
60,set2,45,81.69210875701928,1.2061008238918145,18.60082136587046
60,set2,46,80.99427406838961,1.2875687258096706,26.985847808693975
60,set2,47,80.70826241047526,1.276149179116782,17.148637705779617
60,set2,48,68.26343492725793,0.9886683653677825,24.150574593936824
60,set2,49,83.49345211174244,1.249448709528403,22.43211778931289
60,set2,50,70.66585534259863,1.1590587031432629,19.71828760826249
60,set2,51,75.6465366308062,1.231938767327366,21.581498492735157
60,set3,42,30.697548653326535,0.46467786060455435,23.269195012554082
60,set3,43,31.103196697412017,0.41790234194769715,24.709611747974954
60,set3,44,41.87732418048187,0.5532583056183114,20.753831953531066
